id,title,year
1001,The Shawshank Redemption,1994
1002,The Godfather,1972
1003,The Dark Knight,2008
1004,The Godfather: Part II,1974
1005,12 Angry Men,1957
1006,Schindler's List,1993
1007,The Lord of the Rings: The Return of the King,2003
1008,Pulp Fiction,1994
1009,The Lord of the Rings: The Fellowship of the Ring,2001
1010,Forrest Gump,1994
1011,Fight Club,1999
1012,Inception,2010
1013,The Lord of the Rings: The Two Towers,2002
1014,The Empire Strikes Back,1980
1015,The Matrix,1999
1016,Goodfellas,1990
1017,One Flew Over the Cuckoo's Nest,1975
1018,Se7en,1995
1019,Shichinin no samurai,1954
1020,It's a Wonderful Life,1946
1021,The Silence of the Lambs,1991
1022,Saving Private Ryan,1998
1023,Cidade de Deus,2002
1024,La vita è bella,1997
1025,The Green Mile,1999
1026,Star Wars,1977
1027,Interstellar,2014
1028,Terminator 2: Judgment Day,1991
1029,Back to the Future,1985
1030,Sen to Chihiro no kamikakushi,2001
1031,Psycho,1960
1032,Léon,1994
1033,The Pianist,2002
1034,Gisaengchung,2019
1035,The Lion King,1994
1036,Gladiator,2000
1037,American History X,1998
1038,Spider-Man: No Way Home,2021
1039,The Usual Suspects,1995
1040,The Departed,2006
1041,The Prestige,2006
1042,Casablanca,1942
1043,Whiplash,2014
1044,The Intouchables,2011
1045,Modern Times,1936
1046,Once Upon a Time in the West,1968
1047,Seppuku,1962
1048,Hotaru no haka,1988
1049,Alien,1979
1050,Rear Window,1954
1051,City Lights,1931
1052,Memento,2000
1053,Apocalypse Now,1979
1054,Nuovo Cinema Paradiso,1988
1055,Raiders of the Lost Ark,1981
1056,Django Unchained,2012
1057,WALL·E,2008
1058,The Lives of Others,2006
1059,Sunset Blvd.,1950
1060,The Shining,1980
1061,Paths of Glory,1957
1062,The Great Dictator,1940
1063,Avengers: Infinity War,2018
1064,Witness for the Prosecution,1957
1065,Aliens,1986
1066,American Beauty,1999
1067,The Dark Knight Rises,2012
1068,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
1069,Joker,2019
1070,Spider-Man: Into the Spider-Verse,2018
1071,Oldeuboi,2003
1072,Braveheart,1995
1073,Toy Story,1995
1074,Amadeus,1984
1075,Coco,2017
1076,Inglourious Basterds,2009
1077,Das Boot,1981
1078,Avengers: Endgame,2019
1079,Mononoke-hime,1997
1080,Once Upon a Time in America,1984
1081,Good Will Hunting,1997
1082,Toy Story 3,2010
1083,Requiem for a Dream,2000
1084,3 Idiots,2009
1085,Singin' in the Rain,1952
1086,Kimi no na wa.,2016
1087,Star Wars: Episode VI - Return of the Jedi,1983
1088,Reservoir Dogs,1992
1089,Eternal Sunshine of the Spotless Mind,2004
1090,2001: A Space Odyssey,1968
1091,Citizen Kane,1941
1092,Tengoku to jigoku,1963
1093,Lawrence of Arabia,1962
1094,M - Eine Stadt sucht einen Mörder,1931
1095,North by Northwest,1959
1096,Capharnaüm,2018
1097,Jagten,2012
1098,Vertigo,1958
1099,Le fabuleux destin d'Amélie Poulain,2001
1100,A Clockwork Orange,1971
1101,Full Metal Jacket,1987
1102,Scarface,1983
1103,Double Indemnity,1944
1104,The Apartment,1960
1105,Idi i smotri,1985
1106,Taxi Driver,1976
1107,Hamilton,2020
1108,To Kill a Mockingbird,1962
1109,L.A. Confidential,1997
1110,The Sting,1973
1111,Up,2009
1112,Heat,1995
1113,Ikiru,1952
1114,Snatch,2000
1115,Die Hard,1988
1116,Indiana Jones and the Last Crusade,1989
1117,Jodaeiye Nader az Simin,2011
1118,Metropolis,1927
1119,Ladri di biciclette,1948
1120,Incendies,2010
1121,1917,2019
1122,Taare Zameen Par,2007
1123,Batman Begins,2005
1124,Per qualche dollaro in più,1965
1125,Dangal,2016
1126,Der Untergang,2004
1127,The Kid,1921
1128,Some Like It Hot,1959
1129,The Father,2020
1130,All About Eve,1950
1131,Green Book,2018
1132,The Wolf of Wall Street,2013
1133,Unforgiven,1992
1134,Casino,1995
1135,Pan's Labyrinth,2006
1136,Judgment at Nuremberg,1961
1137,Ran,1985
1138,A Beautiful Mind,2001
1139,The Sixth Sense,1999
1140,Monty Python and the Holy Grail,1975
1141,There Will Be Blood,2007
1142,The Truman Show,1998
